window_chr	window_start	window_end	gene_count
chr1	74973184	76021760	2
chr1	75497472	76546048	5
chr1	76021760	77070336	11
chr1	76546048	77594624	10
chr1	77070336	78118912	5
chr1	77594624	78643200	3
chr1	78118912	79167488	0
chr1	78643200	79691776	0
chr1	79167488	80216064	0
chr1	79691776	80740352	1
chr1	80216064	81264640	1
chr1	80740352	81788928	1
chr1	82837504	83886080	11
chr1	83361792	84410368	13
chr1	83886080	84934656	10
chr1	84410368	85458944	9
chr1	84934656	85983232	11
chr1	85458944	86507520	10
chr1	87031808	88080384	10
chr1	87556096	88604672	15
chr1	88080384	89128960	7
chr1	88604672	89653248	3
chr1	89128960	90177536	3
chr1	89653248	90701824	5
chr1	90177536	91226112	13
chr1	90701824	91750400	15
chr1	91226112	92274688	12
chr1	91750400	92798976	11
chr1	92274688	93323264	7
chr1	92798976	93847552	7
chr1	93323264	94371840	7
chr1	93847552	94896128	3
chr1	94371840	95420416	1
chr1	94896128	95944704	3
chr1	95420416	96468992	2
chr1	95944704	96993280	1
chr1	96468992	97517568	2
chr1	96993280	98041856	2
chr1	97517568	98566144	5
chr1	98041856	99090432	11
chr1	98566144	99614720	12
chr1	99090432	100139008	8
chr1	99614720	100663296	5
chr1	100139008	101187584	1
chr1	100663296	101711872	2
chr1	101187584	102236160	1
chr1	101711872	102760448	5
chr1	103284736	104333312	0
chr1	103809024	104857600	0
chr1	104333312	105381888	0
chr1	104857600	105906176	2
chr1	105381888	106430464	4
chr1	105906176	106954752	6
chr1	106430464	107479040	13
chr1	108527616	109576192	14
chr1	109051904	110100480	16
chr1	109576192	110624768	20
chr1	110100480	111149056	12
chr1	110624768	111673344	11
chr1	113770496	114819072	14
chr1	114294784	115343360	13
chr1	114819072	115867648	9
chr1	115343360	116391936	8
chr1	116916224	117964800	8
chr1	117440512	118489088	4
chr1	117964800	119013376	3
chr1	118489088	119537664	7
chr1	123731968	124780544	24
chr1	125304832	126353408	35
chr1	125829120	126877696	34
chr1	126353408	127401984	28
chr1	127926272	128974848	39
chr1	128450560	129499136	28
chr1	128974848	130023424	36
chr1	129499136	130547712	38
chr1	131072000	132120576	30
chr1	131596288	132644864	16
chr1	132120576	133169152	13
chr1	132644864	133693440	24
chr1	133169152	134217728	27
chr1	134742016	135790592	27
chr1	135266304	136314880	37
chr1	136839168	137887744	12
chr1	137363456	138412032	14
chr1	137887744	138936320	5
chr1	138412032	139460608	0
chr1	138936320	139984896	1
chr1	139460608	140509184	4
chr1	139984896	141033472	8
chr1	140509184	141557760	6
chr1	141033472	142082048	7
chr1	141557760	142606336	10
chr1	142082048	143130624	11
chr1	142606336	143654912	11
chr1	143130624	144179200	9
chr1	143654912	144703488	8
chr1	144179200	145227776	13
chr1	144703488	145752064	10
chr1	145227776	146276352	8
chr1	145752064	146800640	11
chr1	146276352	147324928	8
chr1	147849216	148897792	7
chr1	148373504	149422080	13
chr1	150470656	151519232	2
chr1	150994944	152043520	3
chr1	151519232	152567808	3
chr1	152043520	153092096	3
chr1	152567808	153616384	3
chr1	153092096	154140672	7
chr1	153616384	154664960	10
chr1	154140672	155189248	12
chr1	154664960	155713536	11
chr1	155189248	156237824	9
chr1	155713536	156762112	6
chr1	156237824	157286400	2
chr1	156762112	157810688	10
chr1	157286400	158334976	14
chr1	157810688	158859264	13
chr1	158334976	159383552	9
chr1	158859264	159907840	5
chr1	159383552	160432128	6
chr1	159907840	160956416	6
chr1	160432128	161480704	4
chr1	160956416	162004992	8
chr1	161480704	162529280	6
chr1	162004992	163053568	1
chr1	162529280	163577856	0
chr1	163053568	164102144	0
chr1	163577856	164626432	0
chr1	164102144	165150720	0
chr1	164626432	165675008	1
chr1	165150720	166199296	1
chr1	165675008	166723584	0
chr1	166199296	167247872	1
chr1	166723584	167772160	4
chr1	167247872	168296448	10
chr1	167772160	168820736	6
chr1	168296448	169345024	1
chr1	168820736	169869312	0
chr1	169345024	170393600	0
chr1	169869312	170917888	0
chr1	170393600	171442176	1
chr1	172490752	173539328	6
chr1	173015040	174063616	5
chr1	173539328	174587904	2
chr1	174063616	175112192	0
chr1	174587904	175636480	3
chr1	175112192	176160768	9
chr1	175636480	176685056	18
chr1	177209344	178257920	20
chr1	177733632	178782208	20
chr1	178257920	179306496	17
chr1	178782208	179830784	15
chr1	179306496	180355072	14
chr1	179830784	180879360	13
chr1	180355072	181403648	20
chr1	180879360	181927936	19
chr1	181403648	182452224	20
chr1	181927936	182976512	18
chr1	182452224	183500800	7
chr1	182976512	184025088	4
chr1	183500800	184549376	0
chr1	184025088	185073664	8
chr1	184549376	185597952	12
chr1	185073664	186122240	5
chr1	185597952	186646528	6
chr1	186122240	187170816	10
chr1	186646528	187695104	9
chr1	187170816	188219392	15
chr1	187695104	188743680	11
chr1	188219392	189267968	2
chr1	188743680	189792256	3
chr1	189267968	190316544	4
chr1	189792256	190840832	4
chr1	190316544	191365120	3
chr1	190840832	191889408	2
chr1	191365120	192413696	2
chr1	191889408	192937984	3
chr1	192413696	193462272	2
chr1	192937984	193986560	3
chr1	193462272	194510848	3
chr1	193986560	195035136	1
chr1	194510848	195559424	5
chr1	195035136	196083712	10
chr1	195559424	196608000	5
chr1	196083712	197132288	1
chr1	196608000	197656576	1
chr1	198180864	199229440	10
chr1	198705152	199753728	8
chr1	199229440	200278016	4
chr1	199753728	200802304	6
chr1	200278016	201326592	16
chr1	200802304	201850880	15
chr1	203948032	204996608	9
chr1	204472320	205520896	5
chr1	204996608	206045184	9
chr1	205520896	206569472	16
chr1	206045184	207093760	9
chr1	206569472	207618048	2
chr1	207093760	208142336	4
chr1	207618048	208666624	5
chr1	208142336	209190912	4
chr1	208666624	209715200	7
chr1	209190912	210239488	10
chr1	209715200	210763776	8
chr1	210239488	211288064	9
chr1	210763776	211812352	9
chr1	211288064	212336640	7
chr1	211812352	212860928	4
chr1	212336640	213385216	3
chr1	212860928	213909504	1
chr1	213385216	214433792	2
chr1	213909504	214958080	2
chr1	214433792	215482368	3
chr1	214958080	216006656	3
chr1	215482368	216530944	4
chr1	216006656	217055232	9
chr1	216530944	217579520	7
chr1	218628096	219676672	6
chr1	219152384	220200960	8
chr1	219676672	220725248	6
chr1	220200960	221249536	3
chr1	220725248	221773824	4
chr1	221249536	222298112	11
chr1	221773824	222822400	20
chr1	222298112	223346688	36
chr2A	0	1048576	9
chr2A	1572864	2621440	2
chr2A	2097152	3145728	1
chr2A	2621440	3670016	8
chr2A	3145728	4194304	10
chr2A	3670016	4718592	3
chr2A	4194304	5242880	0
chr2A	4718592	5767168	1
chr2A	5242880	6291456	2
chr2A	5767168	6815744	1
chr2A	6291456	7340032	3
chr2A	6815744	7864320	3
chr2A	7340032	8388608	1
chr2A	7864320	8912896	4
chr2A	8388608	9437184	7
chr2A	8912896	9961472	10
chr2A	9437184	10485760	12
chr2A	9961472	11010048	10
chr2A	10485760	11534336	9
chr2A	11010048	12058624	7
chr2A	11534336	12582912	3
chr2A	12058624	13107200	1
chr2A	12582912	13631488	1
chr2A	13107200	14155776	0
chr2A	13631488	14680064	2
chr2A	14155776	15204352	3
chr2A	14680064	15728640	2
chr2A	15204352	16252928	4
chr2A	15728640	16777216	3
chr2A	16252928	17301504	1
chr2A	16777216	17825792	5
chr2A	17301504	18350080	6
chr2A	17825792	18874368	3
chr2A	18350080	19398656	3
chr2A	18874368	19922944	3
chr2A	19398656	20447232	7
chr2A	19922944	20971520	10
chr2A	20447232	21495808	5
chr2A	20971520	22020096	2
chr2A	21495808	22544384	0
chr2A	22020096	23068672	0
chr2A	22544384	23592960	1
chr2A	23068672	24117248	10
chr2A	23592960	24641536	13
chr2A	24117248	25165824	11
chr2A	24641536	25690112	10
chr2A	25165824	26214400	8
chr2A	25690112	26738688	14
chr2A	26214400	27262976	28
chr2A	27787264	28835840	6
chr2A	28311552	29360128	12
chr2A	28835840	29884416	8
chr2A	29360128	30408704	3
chr2A	29884416	30932992	6
chr2A	31457280	32505856	8
chr2A	31981568	33030144	9
chr2A	32505856	33554432	4
chr2A	33030144	34078720	3
chr2A	33554432	34603008	2
chr2A	34078720	35127296	0
chr2A	34603008	35651584	0
chr2A	35127296	36175872	0
chr2A	35651584	36700160	2
chr2A	36175872	37224448	9
chr2A	36700160	37748736	13
chr2A	37224448	38273024	9
chr2A	37748736	38797312	6
chr2A	39321600	40370176	4
chr2A	39845888	40894464	3
chr2A	40370176	41418752	2
chr2A	40894464	41943040	1
chr2A	41418752	42467328	3
chr2A	41943040	42991616	8
chr2A	42467328	43515904	8
chr2A	42991616	44040192	8
chr2A	43515904	44564480	11
chr2A	44040192	45088768	5
chr2A	44564480	45613056	4
chr2A	45088768	46137344	4
chr2A	45613056	46661632	5
chr2A	46137344	47185920	11
chr2A	46661632	47710208	12
chr2A	47185920	48234496	8
chr2A	47710208	48758784	6
chr2A	48234496	49283072	6
chr2A	48758784	49807360	4
chr2A	50331648	51380224	1
chr2A	50855936	51904512	1
chr2A	51380224	52428800	0
chr2A	51904512	52953088	0
chr2A	52428800	53477376	0
chr2A	52953088	54001664	3
chr2A	53477376	54525952	7
chr2A	54001664	55050240	9
chr2A	54525952	55574528	10
chr2A	55050240	56098816	11
chr2A	55574528	56623104	6
chr2A	56098816	57147392	2
chr2A	56623104	57671680	0
chr2A	57147392	58195968	0
chr2A	57671680	58720256	2
chr2A	58195968	59244544	2
chr2A	58720256	59768832	0
chr2A	59244544	60293120	0
chr2A	59768832	60817408	1
chr2A	60293120	61341696	8
chr2A	60817408	61865984	8
chr2A	61341696	62390272	7
chr2A	61865984	62914560	7
chr2A	62390272	63438848	4
chr2A	62914560	63963136	4
chr2A	63438848	64487424	5
chr2A	63963136	65011712	7
chr2A	64487424	65536000	9
chr2A	65011712	66060288	5
chr2A	65536000	66584576	2
chr2A	66060288	67108864	1
chr2A	66584576	67633152	2
chr2A	67108864	68157440	1
chr2A	67633152	68681728	9
chr2A	68157440	69206016	16
chr2A	68681728	69730304	11
chr2A	69206016	70254592	11
chr2A	69730304	70778880	13
chr2A	71303168	72351744	6
chr2A	71827456	72876032	3
chr2A	72351744	73400320	9
chr2A	72876032	73924608	16
chr2A	73400320	74448896	18
chr2A	73924608	74973184	32
chr2A	74448896	75497472	26
chr2A	74973184	76021760	6
chr2A	75497472	76546048	3
chr2A	76021760	77070336	1
chr2A	77594624	78643200	1
chr2A	78118912	79167488	0
chr2A	78643200	79691776	5
chr2A	79167488	80216064	5
chr2A	79691776	80740352	2
chr2A	80216064	81264640	2
chr2A	80740352	81788928	1
chr2A	81264640	82313216	0
chr2A	81788928	82837504	0
chr2A	82313216	83361792	0
chr2A	82837504	83886080	0
chr2A	83361792	84410368	0
chr2A	83886080	84934656	2
chr2A	84410368	85458944	6
chr2A	84934656	85983232	21
chr2A	85458944	86507520	23
chr2A	85983232	87031808	12
chr2A	91226112	92274688	5
chr2A	91750400	92798976	3
chr2A	94371840	95420416	2
chr2A	98566144	99614720	8
chr2A	101187584	102236160	9
chr2A	101711872	102760448	6
chr2A	103809024	104857600	3
chr2A	104333312	105381888	0
chr2A	104857600	105906176	1
chr2A	105381888	106430464	6
chr2A	105906176	106954752	8
chr2B	0	1048576	5
chr2B	524288	1572864	1
chr2B	1048576	2097152	1
chr2B	3670016	4718592	4
chr2B	4194304	5242880	4
chr2B	4718592	5767168	6
chr2B	5242880	6291456	12
chr2B	5767168	6815744	11
chr2B	6291456	7340032	7
chr2B	6815744	7864320	5
chr2B	7340032	8388608	6
chr2B	7864320	8912896	3
chr2B	8388608	9437184	0
chr2B	8912896	9961472	0
chr2B	9437184	10485760	1
chr2B	9961472	11010048	1
chr2B	10485760	11534336	1
chr2B	11010048	12058624	1
chr2B	11534336	12582912	0
chr2B	12058624	13107200	1
chr2B	12582912	13631488	4
chr2B	13107200	14155776	15
chr2B	13631488	14680064	17
chr2B	14155776	15204352	8
chr2B	14680064	15728640	2
chr2B	15204352	16252928	0
chr2B	18874368	19922944	5
chr2B	19398656	20447232	1
chr2B	19922944	20971520	2
chr2B	20447232	21495808	4
chr2B	20971520	22020096	7
chr2B	21495808	22544384	9
chr2B	22020096	23068672	7
chr2B	22544384	23592960	3
chr2B	23068672	24117248	1
chr2B	23592960	24641536	2
chr2B	24117248	25165824	4
chr2B	24641536	25690112	3
chr2B	25165824	26214400	1
chr2B	25690112	26738688	0
chr2B	26214400	27262976	1
chr2B	26738688	27787264	1
chr2B	27262976	28311552	1
chr2B	27787264	28835840	1
chr2B	28311552	29360128	1
chr2B	28835840	29884416	2
chr2B	29360128	30408704	2
chr2B	29884416	30932992	2
chr2B	30408704	31457280	2
chr2B	30932992	31981568	1
chr2B	31457280	32505856	0
chr2B	31981568	33030144	0
chr2B	32505856	33554432	0
chr2B	33030144	34078720	0
chr2B	33554432	34603008	3
chr2B	34078720	35127296	3
chr2B	34603008	35651584	4
chr2B	35127296	36175872	5
chr2B	35651584	36700160	3
chr2B	36175872	37224448	1
chr2B	36700160	37748736	1
chr2B	37224448	38273024	6
chr2B	37748736	38797312	10
chr2B	38273024	39321600	8
chr2B	38797312	39845888	3
chr2B	39321600	40370176	2
chr2B	39845888	40894464	2
chr2B	40370176	41418752	2
chr2B	40894464	41943040	3
chr2B	41418752	42467328	2
chr2B	41943040	42991616	2
chr2B	42467328	43515904	4
chr2B	42991616	44040192	5
chr2B	43515904	44564480	5
chr2B	44040192	45088768	6
chr2B	44564480	45613056	7
chr2B	45088768	46137344	6
chr2B	45613056	46661632	8
chr2B	46137344	47185920	8
chr2B	46661632	47710208	2
chr2B	47185920	48234496	4
chr2B	47710208	48758784	8
chr2B	48234496	49283072	8
chr2B	48758784	49807360	4
chr2B	49283072	50331648	2
chr2B	49807360	50855936	1
chr2B	50331648	51380224	3
chr2B	50855936	51904512	6
chr2B	51380224	52428800	7
chr2B	51904512	52953088	6
chr2B	52428800	53477376	4
chr2B	52953088	54001664	3
chr2B	53477376	54525952	3
chr2B	54001664	55050240	3
chr2B	54525952	55574528	6
chr2B	55050240	56098816	10
chr2B	55574528	56623104	13
chr2B	56098816	57147392	9
chr2B	56623104	57671680	8
chr2B	57147392	58195968	11
chr2B	57671680	58720256	11
chr2B	58195968	59244544	8
chr2B	58720256	59768832	5
chr2B	59244544	60293120	4
chr2B	59768832	60817408	5
chr2B	60293120	61341696	9
chr2B	60817408	61865984	10
chr2B	61341696	62390272	3
chr2B	61865984	62914560	13
chr2B	62390272	63438848	14
chr2B	62914560	63963136	5
chr2B	63438848	64487424	7
chr2B	63963136	65011712	8
chr2B	64487424	65536000	9
chr2B	65011712	66060288	7
chr2B	65536000	66584576	4
chr2B	66060288	67108864	2
chr2B	66584576	67633152	2
chr2B	67108864	68157440	4
chr2B	67633152	68681728	5
chr2B	68157440	69206016	5
chr2B	68681728	69730304	7
chr2B	69206016	70254592	5
chr2B	69730304	70778880	0
chr2B	70254592	71303168	2
chr2B	70778880	71827456	2
chr2B	71303168	72351744	3
chr2B	71827456	72876032	2
chr2B	72351744	73400320	4
chr2B	72876032	73924608	5
chr2B	73400320	74448896	4
chr2B	73924608	74973184	4
chr2B	74448896	75497472	2
chr2B	74973184	76021760	4
chr2B	77070336	78118912	8
chr2B	77594624	78643200	6
chr2B	78118912	79167488	3
chr2B	78643200	79691776	1
chr2B	79167488	80216064	0
chr2B	79691776	80740352	0
chr2B	80216064	81264640	0
chr2B	80740352	81788928	0
chr2B	81264640	82313216	2
chr2B	81788928	82837504	4
chr2B	82313216	83361792	5
chr2B	82837504	83886080	6
chr2B	83361792	84410368	12
chr2B	83886080	84934656	8
chr2B	84410368	85458944	1
chr2B	84934656	85983232	1
chr2B	85458944	86507520	4
chr2B	85983232	87031808	7
chr2B	86507520	87556096	13
chr2B	87031808	88080384	20
chr2B	87556096	88604672	15
chr2B	88080384	89128960	12
chr2B	88604672	89653248	12
chr2B	89128960	90177536	10
chr2B	89653248	90701824	7
chr2B	90177536	91226112	4
chr2B	90701824	91750400	1
chr2B	91226112	92274688	2
chr2B	91750400	92798976	6
chr2B	92274688	93323264	9
chr2B	92798976	93847552	10
chr2B	93323264	94371840	9
chr2B	93847552	94896128	13
chr2B	94371840	95420416	10
chr2B	94896128	95944704	2
chr2B	95420416	96468992	2
chr2B	95944704	96993280	6
chr2B	96468992	97517568	7
chr2B	96993280	98041856	3
chr2B	98566144	99614720	2
chr2B	99090432	100139008	5
chr2B	99614720	100663296	3
chr2B	100139008	101187584	2
chr2B	100663296	101711872	5
chr2B	101187584	102236160	6
chr2B	101711872	102760448	6
chr2B	102236160	103284736	7
chr2B	102760448	103809024	7
chr2B	103284736	104333312	3
chr2B	103809024	104857600	5
chr2B	104333312	105381888	22
chr2B	104857600	105906176	37
chr2B	105381888	106430464	36
chr2B	105906176	106954752	15
chr2B	106430464	107479040	0
chr2B	106954752	108003328	0
chr2B	107479040	108527616	2
chr2B	108003328	109051904	5
chr2B	108527616	109576192	7
chr2B	109051904	110100480	5
chr2B	109576192	110624768	7
chr2B	110100480	111149056	7
chr2B	110624768	111673344	5
chr2B	111149056	112197632	4
chr2B	111673344	112721920	2
chr2B	112197632	113246208	1
chr2B	112721920	113770496	3
chr2B	113246208	114294784	9
chr2B	113770496	114819072	11
chr2B	114294784	115343360	4
chr2B	114819072	115867648	2
chr2B	115343360	116391936	3
chr2B	115867648	116916224	7
chr2B	116391936	117440512	9
chr2B	116916224	117964800	14
chr2B	117440512	118489088	19
chr2B	117964800	119013376	13
chr2B	118489088	119537664	17
chr2B	119013376	120061952	19
chr2B	119537664	120586240	13
chr2B	120061952	121110528	12
chr2B	120586240	121634816	6
chr2B	121110528	122159104	2
chr2B	121634816	122683392	2
chr2B	122159104	123207680	6
chr2B	123731968	124780544	13
chr2B	124256256	125304832	15
chr2B	124780544	125829120	10
chr2B	125304832	126353408	5
chr3	524288	1572864	3
chr3	1048576	2097152	1
chr3	1572864	2621440	2
chr3	2097152	3145728	1
chr3	2621440	3670016	4
chr3	3145728	4194304	5
chr3	3670016	4718592	3
chr3	4194304	5242880	4
chr3	4718592	5767168	4
chr3	5242880	6291456	2
chr3	5767168	6815744	0
chr3	6291456	7340032	1
chr3	6815744	7864320	1
chr3	7340032	8388608	1
chr3	7864320	8912896	3
chr3	8388608	9437184	6
chr3	8912896	9961472	10
chr3	9437184	10485760	28
chr3	9961472	11010048	25
chr3	10485760	11534336	8
chr3	11010048	12058624	6
chr3	11534336	12582912	7
chr3	13107200	14155776	7
chr3	13631488	14680064	10
chr3	14155776	15204352	12
chr3	14680064	15728640	14
chr3	15204352	16252928	12
chr3	15728640	16777216	8
chr3	16252928	17301504	7
chr3	16777216	17825792	3
chr3	17301504	18350080	1
chr3	17825792	18874368	2
chr3	18350080	19398656	2
chr3	18874368	19922944	1
chr3	19398656	20447232	7
chr3	19922944	20971520	6
chr3	20447232	21495808	0
chr3	20971520	22020096	2
chr3	21495808	22544384	2
chr3	22020096	23068672	1
chr3	22544384	23592960	2
chr3	23068672	24117248	4
chr3	23592960	24641536	7
chr3	24117248	25165824	5
chr3	24641536	25690112	2
chr3	25165824	26214400	4
chr3	25690112	26738688	4
chr3	26214400	27262976	1
chr3	26738688	27787264	3
chr3	27262976	28311552	3
chr3	27787264	28835840	4
chr3	28311552	29360128	4
chr3	28835840	29884416	1
chr3	29360128	30408704	1
chr3	29884416	30932992	3
chr3	30408704	31457280	2
chr3	30932992	31981568	3
chr3	31457280	32505856	5
chr3	31981568	33030144	10
chr3	32505856	33554432	13
chr3	33030144	34078720	10
chr3	33554432	34603008	4
chr3	34078720	35127296	1
chr3	34603008	35651584	0
chr3	35127296	36175872	1
chr3	35651584	36700160	2
chr3	36175872	37224448	5
chr3	36700160	37748736	9
chr3	37224448	38273024	9
chr3	37748736	38797312	15
chr3	38273024	39321600	16
chr3	38797312	39845888	14
chr3	39321600	40370176	10
chr3	40894464	41943040	2
chr3	41418752	42467328	4
chr3	41943040	42991616	14
chr3	42467328	43515904	19
chr3	42991616	44040192	11
chr3	43515904	44564480	5
chr3	44040192	45088768	15
chr3	44564480	45613056	21
chr3	45088768	46137344	14
chr3	45613056	46661632	15
chr3	46137344	47185920	25
chr3	46661632	47710208	21
chr3	47185920	48234496	13
chr3	47710208	48758784	18
chr3	48234496	49283072	29
chr3	48758784	49807360	34
chr3	49283072	50331648	33
chr3	49807360	50855936	39
chr3	50331648	51380224	27
chr3	50855936	51904512	7
chr3	51380224	52428800	22
chr3	51904512	52953088	33
chr3	52428800	53477376	28
chr3	52953088	54001664	17
chr3	53477376	54525952	8
chr3	54001664	55050240	6
chr3	54525952	55574528	2
chr3	55050240	56098816	4
chr3	55574528	56623104	2
chr3	56098816	57147392	4
chr3	56623104	57671680	11
chr3	57147392	58195968	12
chr3	57671680	58720256	12
chr3	58195968	59244544	14
chr3	58720256	59768832	6
chr3	59244544	60293120	2
chr3	59768832	60817408	1
chr3	60293120	61341696	1
chr3	60817408	61865984	3
chr3	61341696	62390272	3
chr3	61865984	62914560	4
chr3	62390272	63438848	4
chr3	62914560	63963136	3
chr3	63438848	64487424	7
chr3	63963136	65011712	6
chr3	64487424	65536000	2
chr3	65011712	66060288	1
chr3	65536000	66584576	3
chr3	66060288	67108864	3
chr3	66584576	67633152	3
chr3	67108864	68157440	2
chr3	67633152	68681728	2
chr3	68157440	69206016	3
chr3	68681728	69730304	8
chr3	69206016	70254592	7
chr3	69730304	70778880	3
chr3	70254592	71303168	2
chr3	70778880	71827456	1
chr3	71303168	72351744	5
chr3	71827456	72876032	5
chr3	72351744	73400320	6
chr3	72876032	73924608	6
chr3	73400320	74448896	1
chr3	73924608	74973184	1
chr3	76546048	77594624	1
chr3	77070336	78118912	1
chr3	77594624	78643200	1
chr3	78118912	79167488	2
chr3	78643200	79691776	1
chr3	79167488	80216064	1
chr3	79691776	80740352	1
chr3	80216064	81264640	1
chr3	80740352	81788928	0
chr3	81264640	82313216	1
chr3	81788928	82837504	1
chr3	82313216	83361792	0
chr3	82837504	83886080	0
chr3	83361792	84410368	0
chr3	83886080	84934656	0
chr3	84410368	85458944	0
chr3	84934656	85983232	2
chr3	85458944	86507520	2
chr3	85983232	87031808	1
chr3	86507520	87556096	2
chr3	87031808	88080384	3
chr3	88604672	89653248	4
chr3	89128960	90177536	1
chr3	89653248	90701824	1
chr3	90177536	91226112	1
chr3	91750400	92798976	5
chr3	92274688	93323264	1
chr3	92798976	93847552	0
chr3	93323264	94371840	0
chr3	93847552	94896128	0
chr3	94371840	95420416	1
chr3	94896128	95944704	2
chr3	95420416	96468992	13
chr3	95944704	96993280	23
chr3	96468992	97517568	11
chr3	96993280	98041856	4
chr3	97517568	98566144	7
chr3	98041856	99090432	11
chr3	98566144	99614720	8
chr3	99090432	100139008	11
chr3	99614720	100663296	10
chr3	100139008	101187584	1
chr3	100663296	101711872	1
chr3	101187584	102236160	0
chr3	101711872	102760448	0
chr3	102236160	103284736	0
chr3	102760448	103809024	1
chr3	103284736	104333312	2
chr3	103809024	104857600	1
chr3	104333312	105381888	1
chr3	104857600	105906176	3
chr3	105381888	106430464	6
chr3	105906176	106954752	8
chr3	106430464	107479040	10
chr3	106954752	108003328	8
chr3	107479040	108527616	3
chr3	108003328	109051904	0
chr3	108527616	109576192	2
chr3	109051904	110100480	7
chr3	109576192	110624768	12
chr3	111149056	112197632	13
chr3	111673344	112721920	13
chr3	112197632	113246208	6
chr3	112721920	113770496	1
chr3	113246208	114294784	3
chr3	113770496	114819072	2
chr3	114294784	115343360	2
chr3	114819072	115867648	1
chr3	115343360	116391936	0
chr3	115867648	116916224	0
chr3	116391936	117440512	4
chr3	116916224	117964800	15
chr3	117440512	118489088	13
chr3	117964800	119013376	9
chr3	118489088	119537664	7
chr3	119013376	120061952	9
chr3	119537664	120586240	17
chr3	120061952	121110528	16
chr3	120586240	121634816	11
chr3	121110528	122159104	8
chr3	121634816	122683392	5
chr3	122159104	123207680	5
chr3	122683392	123731968	9
chr3	124256256	125304832	14
chr3	124780544	125829120	9
chr3	125304832	126353408	10
chr3	125829120	126877696	9
chr3	126353408	127401984	15
chr3	126877696	127926272	19
chr3	128450560	129499136	7
chr3	128974848	130023424	6
chr3	129499136	130547712	4
chr3	130023424	131072000	8
chr3	130547712	131596288	8
chr3	131072000	132120576	10
chr3	131596288	132644864	13
chr3	132120576	133169152	8
chr3	132644864	133693440	3
chr3	133169152	134217728	2
chr3	133693440	134742016	4
chr3	134217728	135266304	7
chr3	134742016	135790592	4
chr3	135266304	136314880	6
chr3	135790592	136839168	12
chr3	137363456	138412032	6
chr3	137887744	138936320	2
chr3	138412032	139460608	6
