window	minimum	mean	maximum	variance	gene_count
chr18_61865984	0.050186446114	0.0765500790631252	0.114859409126	0.0001298360809954	2
chr19_25690112	0.029334349506	0.0484122031415815	0.086657831352	0.0001793156463677	2
chr19_26214400	0.03151603115	0.0530296506331276	0.086493768641	0.0001742363000809	1
chr19_51380224	0.0383579533169999	0.056042936169799	0.1031067548449999	9.034039319939333e-05	36
chr1_126353408	0.0293225248859999	0.0372073239618084	0.063014771671	3.4592564034203136e-05	28
chr1_153092096	0.0130475075049999	0.0211554687556382	0.0289714014859999	7.867561040448934e-06	7
chr1_153616384	0.016505948197	0.0236369652441417	0.0322845911839999	9.588819125585078e-06	10
chr1_173015040	0.012330951608	0.0414956641889503	0.0770426613489999	0.0001196092874121	5
chr20_59768832	0.035140019495	0.0660667029281063	0.1102359676099999	0.0002896724019925	0
chr21_19922944	0.0112846806649999	0.0170273719170992	0.0245140598009999	4.217955388991012e-06	13
chr21_20447232	0.012771416153	0.0184906265901323	0.028110884046	6.499316011650018e-06	12
chr2A_74973184	0.022454603972	0.035379554445286	0.0510747426069999	2.8499829667490345e-05	6
chr2A_82837504	0.083283623403	0.1324793806781039	0.2492084154279999	0.0006755125636764	0
chr2A_83361792	0.0404134753499999	0.0795636446819574	0.187441845358	0.0005488621088882	0
chr2B_42991616	0.0102041580839999	0.0152361876451914	0.02083008595	4.738645101776808e-06	5
chr2B_70254592	0.018732674671	0.0367861962614538	0.0647622786429999	7.076633940349323e-05	2
chr2B_116916224	0.035112304525	0.0442465075142245	0.0554300154019999	1.1971179053129307e-05	14
chr2B_119013376	0.020650925188	0.0309292046164774	0.046350733131	1.4824537228487391e-05	19
chr3_7340032	0.0101365937959999	0.0215226545577139	0.0353939295849999	1.9289950219126915e-05	1
chr3_20971520	0.014439435018	0.0625811808829975	0.1669505518799999	0.0010015160724161	2
chr3_60293120	0.0355275796509999	0.0908029365214373	0.184919985594	0.000828601912478	1
chr3_85458944	0.0474380291339999	0.1590667449958699	0.235186199714	0.0013705117671946	2
chr3_90177536	0.0117944880999999	0.0161241963395744	0.0201964979	2.769181218778233e-06	1
chr3_92798976	0.036774881491	0.0712707831785011	0.1503420226749999	0.0005056372984806	0
chr3_93323264	0.0177386800469999	0.031493240009241	0.0554975575549999	5.559411606316515e-05	0
chr3_103809024	0.0145283370809999	0.0218626786974893	0.0298526572699999	7.062466204580598e-06	1
chr3_104333312	0.1254851414369999	0.141567102288189	0.1630836325279999	5.425471409842158e-05	1
chr3_122683392	0.010437187284	0.0149026030043876	0.0209237993469999	3.999902453547603e-06	9
chr3_137887744	0.0219376736109999	0.0407281841275318	0.134816504486	0.0002945209369913	2
chr3_144179200	0.019146835819	0.0293171731319361	0.0471573611569999	1.799641308220165e-05	6
chr3_144703488	0.0405593021069999	0.0752409776682316	0.112863588558	0.0002994231109847	2
chr4_32505856	0.078217780377	0.117428098164799	0.169588465623	0.0002481575411209	0
chr4_61865984	0.05114530112	0.0729883769507919	0.1031515522949999	8.982637933889003e-05	0
chr4_62390272	0.255510012869	0.3010017115811064	0.358441386751	0.0004060058480889	1
chr4_62914560	0.0686211958289999	0.1158810131415106	0.203689145402	0.0007212357837184	1
chr4_89653248	0.010247886883	0.0471256396309999	0.103253198746	0.0005038867302431	1
chr4_113770496	0.0296192205209999	0.0699556156509195	0.1237839020509999	0.0002758770521185	1
chr4_122683392	0.0304406124439999	0.0587226792528794	0.084117754489	0.000188296632287	1
chr4_133693440	0.0309673586109999	0.0939110076000614	0.2476129610249999	0.0025877210676044	0
chr5_16252928	0.02491708517	0.030208411098267	0.03670547712	5.581996864210867e-06	4
chr5_35127296	0.010446067594	0.0354141172063876	0.122298304202	0.0003295704391309	8
chr6_63438848	0.03572193154	0.0619395300935366	0.097086619577	8.569632363174793e-05	0
chr6_63963136	0.1069350183839999	0.1521052851363001	0.189955693494	0.0001833212628388	0
chr6_114294784	0.011627868272	0.0206498269452529	0.0553555552629999	8.008481422690938e-05	7
chr6_144703488	0.010106006888	0.022922018385163	0.049992743023	4.3567921333991147e-05	3
chr6_153092096	0.025209655683	0.0495161769032127	0.077066030461	8.367969994081713e-05	0
chr6_159383552	0.017329458083	0.0537708421550756	0.137722637494	0.0005005323902088	3
chr7_14680064	0.038911672878	0.075296152964494	0.1139170185029999	0.0001650057630174	3
chr7_15204352	0.0421021835049999	0.0719462096004065	0.096861630127	0.0001003064353145	4
chr7_24117248	0.035126545226	0.0679797620025177	0.1292258706429999	0.0002855400598477	4
chr7_83886080	0.036591365416	0.0511084256127422	0.0699732955899999	4.4260057148317545e-05	8
chr7_84410368	0.108962646874	0.1782226348712127	0.2470019069819999	0.0006060437167996	2
chr8_5767168	0.067512235187	0.1028942521411276	0.1424157495219999	0.0002728814053663	5
chr8_34603008	0.096862977316	0.2083744389091087	0.4681513591039999	0.0054826969965431	1
chr8_113770496	0.045049651094	0.0974974374905626	0.1591102538409999	0.0004319580805317	2
chr9_62914560	0.0114659643769999	0.0192777230233167	0.0355948429419999	1.2913637556371874e-05	5
chr9_88080384	0.027271447929	0.0382745527637257	0.052011827629	2.189055236127688e-05	3
chr9_100139008	0.019218236715	0.0285177248499573	0.03955693082	1.228953615962195e-05	35
chr9_104857600	0.0120549028919999	0.0187989945346477	0.0360507481859999	2.183227778399092e-05	29
chrX_15204352	0.0580263346749999	0.0704551618491822	0.093661257303	2.7000726762455683e-05	14
chrX_31457280	0.0266236101689999	0.0726871709687388	0.121001243072	0.0003955806867303	1
chrX_99614720	0.012606709909	0.0179945944235319	0.027076678231	8.556121256359885e-06	3
chrX_108527616	0.062558957336	0.1821957657879162	0.378797006056	0.0128875261289244	0
chrX_109051904	0.01373844247	0.0289707659907733	0.0480411684289999	7.836310830169725e-05	1
chrX_120586240	0.144476647869	0.3193508438764137	0.475589935161	0.0042181173956416	1
chrX_121110528	0.1130308920739999	0.2518930004507192	0.3860867614909999	0.0033438622579867	3
