gene	tissue	ppn_female	ppn_male	ptr_female	ptr_male	ppn_delta	ptr_delta	species_diff
DICER1	heart	496.0	418	521.0	754.0	78.0	233.0	25.0
DICER1	kidney	589.0	492	786.0	1172.0	97.0	386.0	197.0
DIP2B	cerebellum	3304.0	4884	2891.0	2409.0	1580.0	482.0	413.0
DIP2B	kidney	425.0	350	477.0	823.0	75.0	346.0	52.0
DIS3L	kidney	344.0	323	349.0	706.0	21.0	357.0	5.0
DMD	cerebellum	792.0	737	704.0	499.0	55.0	205.0	33.0
DMD	heart	2500.0	832	3684.0	5423.0	1668.0	1739.0	1184.0
DMD	kidney	156.0	125	275.0	255.0	31.0	20.0	99.0
DMD	liver	1061.0	546	265.0	468.0	515.0	203.0	78.0
DMGDH	kidney	1126.0	754	2758.0	6399.0	372.0	3641.0	1632.0
DNAJC28	heart	38.0	10	49.0	60.0	28.0	11.0	11.0
DNAJC28	kidney	30.0	15	49.0	87.0	15.0	38.0	19.0
DNAJC28	liver	39.0	24	23.0	8.0	15.0	15.0	1.0
DNM1	heart	215.0	206	126.0	73.0	9.0	53.0	80.0
DONSON	kidney	128.0	128	141.0	181.0	0.0	40.0	13.0
DPM2	kidney	718.0	628	1101.0	719.0	90.0	382.0	1.0
ECEL1	heart	20.0	14	5.0	1.0	6.0	4.0	9.0
ECEL1	kidney	32.0	27	11.0	4.0	5.0	7.0	16.0
EIF3H	kidney	1404.0	1401	1676.0	2877.0	3.0	1201.0	272.0
EIF4E2	kidney	1046.0	783	1057.0	1667.0	263.0	610.0	11.0
ENDOG	liver	242.0	178	285.0	370.0	64.0	85.0	43.0
EPHA5	cerebellum	40.0	89	314.0	230.0	49.0	84.0	141.0
EPHA5	kidney	4.0	5	7.0	11.0	1.0	4.0	2.0
ERMN	cerebellum	692.0	732	519.0	361.0	40.0	158.0	173.0
ERO1A	kidney	336.0	333	358.0	378.0	3.0	20.0	22.0
ESR2	heart	2.0	1	5.0	4.0	1.0	1.0	2.0
EVA1A	cerebellum	1.0	3	25.0	4.0	2.0	21.0	1.0
EVA1A	kidney	220.0	203	401.0	577.0	17.0	176.0	181.0
EVA1A	liver	752.0	889	329.0	575.0	137.0	246.0	177.0
FAM102A	kidney	1524.0	1827	2927.0	2381.0	303.0	546.0	554.0
FAM181B	kidney	58.0	52	179.0	66.0	6.0	113.0	8.0
FAM199X	heart	306.0	178	310.0	376.0	128.0	66.0	4.0
FAM199X	kidney	461.0	437	572.0	769.0	24.0	197.0	111.0
FAT4	kidney	268.0	239	458.0	848.0	29.0	390.0	190.0
FGFBP3	heart	23.0	14	69.0	24.0	9.0	45.0	1.0
FHIT	heart	28.0	12	37.0	49.0	16.0	12.0	9.0
FHIT	liver	71.0	35	10.0	24.0	36.0	14.0	11.0
FLG	cerebellum	102.0	138	51.0	46.0	36.0	5.0	51.0
FLG	heart	22.0	26	4.0	14.0	4.0	10.0	8.0
FNTB	cerebellum	668.0	697	532.0	394.0	29.0	138.0	136.0
FRMD6	cerebellum	357.0	163	554.0	379.0	194.0	175.0	22.0
FUT8	cerebellum	1103.0	1127	670.0	650.0	24.0	20.0	433.0
FUT8	heart	214.0	271	168.0	196.0	57.0	28.0	18.0
FUT8	liver	112.0	112	106.0	22.0	0.0	84.0	6.0
GAS2	cerebellum	40.0	35	34.0	14.0	5.0	20.0	1.0
GAS2	liver	391.0	200	47.0	165.0	191.0	118.0	35.0
GBGT1	liver	131.0	58	150.0	247.0	73.0	97.0	19.0
GCFC2	liver	318.0	176	83.0	59.0	142.0	24.0	93.0
GIGYF2	heart	1506.0	899	1724.0	1908.0	607.0	184.0	218.0
GIGYF2	kidney	1478.0	1078	1666.0	2284.0	400.0	618.0	188.0
GLE1	heart	314.0	194	342.0	394.0	120.0	52.0	28.0
GLE1	kidney	409.0	348	603.0	729.0	61.0	126.0	194.0
GLRX5	kidney	1568.0	1675	2047.0	2494.0	107.0	447.0	372.0
GLRX5	liver	1323.0	781	1589.0	1613.0	542.0	24.0	266.0
GNG2	cerebellum	645.0	533	857.0	675.0	112.0	182.0	30.0
GOLGA2	liver	647.0	472	3105.0	913.0	175.0	2192.0	266.0
GOPC	heart	660.0	342	686.0	681.0	318.0	5.0	21.0
GOPC	kidney	446.0	407	495.0	852.0	39.0	357.0	49.0
GPD2	cerebellum	1260.0	1537	830.0	889.0	277.0	59.0	371.0
GPD2	kidney	320.0	284	359.0	528.0	36.0	169.0	39.0
GPR137C	cerebellum	600.0	688	440.0	382.0	88.0	58.0	160.0
GPR55	liver	6.0	5	2.0	2.0	1.0	0.0	3.0
GPX2	cerebellum	37.0	32	18.0	6.0	5.0	12.0	14.0
GRM7	cerebellum	3.0	63	133.0	94.0	60.0	39.0	31.0
GSDME	heart	256.0	251	122.0	59.0	5.0	63.0	129.0
GTF3C4	cerebellum	1084.0	1640	863.0	899.0	556.0	36.0	185.0
GTF3C4	heart	226.0	195	318.0	324.0	31.0	6.0	92.0
GTF3C4	kidney	247.0	282	473.0	654.0	35.0	181.0	191.0
HEG1	cerebellum	790.0	637	569.0	343.0	153.0	226.0	68.0
HEG1	heart	4308.0	3188	4617.0	10642.0	1120.0	6025.0	309.0
HEG1	liver	482.0	481	1367.0	609.0	1.0	758.0	127.0
HRNR	cerebellum	8.0	13	56.0	29.0	5.0	27.0	16.0
HRNR	heart	5.0	5	11.0	8.0	0.0	3.0	3.0
HRNR	kidney	4.0	16	18.0	46.0	12.0	28.0	2.0
HSPA2	heart	645.0	320	239.0	177.0	325.0	62.0	81.0
HTR2B	cerebellum	8.0	8	2.0	1.0	0.0	1.0	6.0
HTR2B	kidney	16.0	16	31.0	38.0	0.0	7.0	15.0
IDE	cerebellum	382.0	425	376.0	157.0	43.0	219.0	6.0
IDE	kidney	363.0	369	387.0	520.0	6.0	133.0	18.0
IFNGR2	kidney	816.0	559	962.0	1409.0	257.0	447.0	146.0
INTS14	kidney	317.0	282	411.0	579.0	35.0	168.0	94.0
ISPD	kidney	62.0	39	66.0	168.0	23.0	102.0	4.0
ITGB5	cerebellum	691.0	805	664.0	358.0	114.0	306.0	27.0
ITGB5	kidney	1748.0	1458	2581.0	3610.0	290.0	1029.0	833.0
ITSN1	kidney	571.0	437	840.0	1123.0	134.0	283.0	269.0
JMY	cerebellum	953.0	1124	740.0	593.0	171.0	147.0	213.0
JMY	heart	318.0	199	388.0	514.0	119.0	126.0	70.0
JMY	kidney	398.0	271	429.0	762.0	127.0	333.0	31.0
KCNE1	cerebellum	11.0	19	6.0	9.0	8.0	3.0	2.0
KCTD1	kidney	752.0	442	847.0	807.0	310.0	40.0	55.0
KIF11	kidney	27.0	26	40.0	38.0	1.0	2.0	11.0
KLF13	heart	1209.0	1397	1487.0	1452.0	188.0	35.0	55.0
KLF13	kidney	1820.0	1525	2679.0	2966.0	295.0	287.0	859.0
KLF13	liver	906.0	776	2104.0	985.0	130.0	1119.0	79.0
KYAT1	kidney	696.0	533	728.0	1505.0	163.0	777.0	32.0
KYAT1	liver	466.0	344	596.0	585.0	122.0	11.0	119.0
LARP4	cerebellum	441.0	554	405.0	305.0	113.0	100.0	36.0
LENG1	cerebellum	153.0	202	234.0	209.0	49.0	25.0	7.0
LENG8	cerebellum	9409.0	12783	9346.0	8642.0	3374.0	704.0	63.0
LENG8	heart	2738.0	2130	1726.0	2045.0	608.0	319.0	85.0
LENG8	liver	1748.0	1053	3541.0	2210.0	695.0	1331.0	462.0
LENG9	cerebellum	24.0	19	16.0	6.0	5.0	10.0	3.0
LENG9	heart	35.0	31	23.0	13.0	4.0	10.0	8.0
LENG9	liver	44.0	9	283.0	59.0	35.0	224.0	15.0
LILRB3	heart	27.0	20	41.0	31.0	7.0	10.0	4.0
LILRB3	kidney	28.0	14	73.0	65.0	14.0	8.0	37.0
LINGO4	cerebellum	24.0	58	267.0	226.0	34.0	41.0	168.0
LINGO4	heart	70.0	12	164.0	119.0	58.0	45.0	49.0
LINGO4	kidney	22.0	26	153.0	78.0	4.0	75.0	52.0
LINGO4	liver	41.0	30	197.0	46.0	11.0	151.0	5.0
LOC100612575	kidney	8.0	7	12.0	23.0	1.0	11.0	4.0
LOC100613592	cerebellum	15.0	14	8.0	2.0	1.0	6.0	6.0
LOC100613592	heart	5.0	7	15.0	9.0	2.0	6.0	2.0
LOC101059176	cerebellum	157.0	131	64.0	71.0	26.0	7.0	60.0
LOC101059176	heart	30.0	12	8.0	6.0	18.0	2.0	4.0
LOC104001534	cerebellum	5.0	4	2.0	2.0	1.0	0.0	2.0
LOC104003432	kidney	28.0	20	39.0	67.0	8.0	28.0	11.0
LOC104003432	liver	13.0	12	2.0	4.0	1.0	2.0	8.0
LOC104007525	cerebellum	120.0	74	50.0	35.0	46.0	15.0	24.0
LOC107976709	kidney	3.0	4	10.0	13.0	1.0	3.0	6.0
LOC107976709	liver	4.0	4	2.0	1.0	0.0	1.0	2.0
LOC453134	cerebellum	4.0	9	2.0	1.0	5.0	1.0	2.0
LOC453134	liver	10.0	9	5.0	1.0	1.0	4.0	4.0
LOC453285	cerebellum	87.0	116	16.0	3.0	29.0	13.0	71.0
LOC456283	heart	20.0	13	101.0	23.0	7.0	78.0	3.0
LOC460522	cerebellum	8.0	6	1.0	4.0	2.0	3.0	2.0
LOC460532	liver	42.0	32	3.0	1.0	10.0	2.0	29.0
LOC464914	heart	4.0	1	5.0	9.0	3.0	4.0	1.0
LOC465512	cerebellum	534.0	532	188.0	466.0	2.0	278.0	66.0
LOC465512	liver	200.0	143	262.0	243.0	57.0	19.0	43.0
LOC467545	liver	1.0	1	2.0	2.0	0.0	0.0	1.0
LOC470670	cerebellum	5.0	9	3.0	1.0	4.0	2.0	2.0
LOC739470	kidney	104.0	149	217.0	210.0	45.0	7.0	61.0
LOC742641	kidney	11.0	2	25.0	15.0	9.0	10.0	4.0
LRRC8A	heart	1541.0	1330	712.0	1285.0	211.0	573.0	45.0
LRRC8A	liver	839.0	992	2096.0	1308.0	153.0	788.0	316.0
MAP2K1	kidney	327.0	330	442.0	543.0	3.0	101.0	112.0
MAP2K1	liver	198.0	123	410.0	369.0	75.0	41.0	171.0
MARCH5	kidney	318.0	296	345.0	548.0	22.0	203.0	27.0
MAX	cerebellum	1389.0	1337	793.0	1114.0	52.0	321.0	223.0
MEOX2	cerebellum	13.0	13	4.0	2.0	0.0	2.0	9.0
MEOX2	liver	57.0	29	15.0	7.0	28.0	8.0	14.0
MPP6	cerebellum	391.0	413	283.0	89.0	22.0	194.0	108.0
MPP6	kidney	145.0	163	230.0	357.0	18.0	127.0	67.0
MRPL19	cerebellum	547.0	549	237.0	188.0	2.0	49.0	310.0
MRPL19	liver	776.0	526	368.0	250.0	250.0	118.0	158.0
MRPL9	cerebellum	903.0	978	899.0	668.0	75.0	231.0	4.0
MRPS6	cerebellum	158.0	219	278.0	223.0	61.0	55.0	4.0
MRPS6	kidney	455.0	362	522.0	794.0	93.0	272.0	67.0
MTHFD1	kidney	1528.0	1448	1759.0	4139.0	80.0	2380.0	231.0
MYO10	kidney	1914.0	1383	2184.0	3619.0	531.0	1435.0	270.0
NAIF1	heart	56.0	68	53.0	31.0	12.0	22.0	3.0
NAIF1	kidney	88.0	77	166.0	145.0	11.0	21.0	57.0
NAIF1	liver	54.0	48	180.0	66.0	6.0	114.0	12.0
NDUFA3	cerebellum	667.0	496	483.0	451.0	171.0	32.0	13.0
NEK7	cerebellum	426.0	382	191.0	77.0	44.0	114.0	191.0
NEK7	kidney	547.0	412	577.0	1065.0	135.0	488.0	30.0
NELL2	heart	10.0	9	6.0	3.0	1.0	3.0	3.0
NELL2	kidney	2.0	9	41.0	75.0	7.0	34.0	32.0
NELL2	liver	4.0	50	3.0	2.0	46.0	1.0	1.0
NFIL3	liver	4524.0	498	440.0	243.0	4026.0	197.0	58.0
NLRP12	heart	18.0	11	6.0	4.0	7.0	2.0	5.0
NLRP12	liver	66.0	17	11.0	5.0	49.0	6.0	6.0
NRG3	liver	15.0	6	38.0	20.0	9.0	18.0	5.0
NUS1	cerebellum	169.0	184	121.0	109.0	15.0	12.0	48.0
NUS1	kidney	160.0	183	190.0	456.0	23.0	266.0	7.0
OAZ3	cerebellum	80.0	114	79.0	74.0	34.0	5.0	1.0
OAZ3	kidney	9.0	7	34.0	20.0	2.0	14.0	11.0
ODF2	heart	268.0	260	414.0	361.0	8.0	53.0	93.0
ODF2	kidney	430.0	400	1064.0	862.0	30.0	202.0	432.0
OSBPL11	cerebellum	384.0	340	293.0	196.0	44.0	97.0	47.0
OSBPL11	kidney	269.0	193	274.0	343.0	76.0	69.0	5.0
OSBPL3	heart	137.0	93	148.0	144.0	44.0	4.0	7.0
OSCAR	heart	10.0	6	5.0	3.0	4.0	2.0	1.0
OTUD7A	heart	23.0	36	17.0	12.0	13.0	5.0	6.0
OTUD7A	kidney	54.0	47	76.0	64.0	7.0	12.0	10.0
PACRG	kidney	148.0	91	180.0	152.0	57.0	28.0	4.0
PACRG	liver	60.0	21	7.0	5.0	39.0	2.0	14.0
PAPD4	kidney	376.0	306	482.0	705.0	70.0	223.0	106.0
PAPPA	heart	56.0	79	31.0	38.0	23.0	7.0	18.0
PAPPA	kidney	746.0	325	1940.0	807.0	421.0	1133.0	61.0
PCDH9	liver	8.0	54	2.0	6.0	46.0	4.0	2.0
PHYHD1	heart	584.0	260	101.0	73.0	324.0	28.0	159.0
PHYHD1	kidney	1224.0	966	406.0	174.0	258.0	232.0	560.0
PHYHD1	liver	2916.0	1728	1077.0	1636.0	1188.0	559.0	92.0
PIR	kidney	66.0	61	85.0	127.0	5.0	42.0	19.0
PKN3	heart	448.0	620	173.0	236.0	172.0	63.0	212.0
PKN3	kidney	345.0	318	218.0	181.0	27.0	37.0	100.0
PLEKHG3	heart	301.0	373	216.0	228.0	72.0	12.0	73.0
PLEKHG3	liver	264.0	315	1439.0	512.0	51.0	927.0	197.0
PLOD2	cerebellum	194.0	224	160.0	56.0	30.0	104.0	34.0
PLSCR1	kidney	332.0	365	572.0	562.0	33.0	10.0	197.0
PLSCR4	liver	327.0	201	179.0	168.0	126.0	11.0	22.0
PLSCR5	cerebellum	13.0	18	4.0	4.0	5.0	0.0	9.0
PPP1R36	kidney	10.0	5	22.0	17.0	5.0	5.0	7.0
PPP1R3C	cerebellum	275.0	241	224.0	91.0	34.0	133.0	17.0
PPP1R3C	kidney	111.0	123	127.0	193.0	12.0	66.0	4.0
PPP1R3C	liver	1162.0	4940	197.0	499.0	3778.0	302.0	663.0
PRCP	cerebellum	807.0	876	674.0	343.0	69.0	331.0	133.0
PRCP	liver	2096.0	986	928.0	673.0	1110.0	255.0	58.0
PRKCG	cerebellum	273.0	1222	3013.0	1228.0	949.0	1785.0	6.0
PRKN	heart	420.0	55	811.0	519.0	365.0	292.0	99.0
PRKN	kidney	244.0	122	631.0	561.0	122.0	70.0	317.0
PRKN	liver	127.0	182	283.0	253.0	55.0	30.0	71.0
PRPF31	kidney	824.0	587	1292.0	1151.0	237.0	141.0	327.0
PRPF31	liver	488.0	284	1450.0	526.0	204.0	924.0	38.0
PSMC6	cerebellum	289.0	383	261.0	202.0	94.0	59.0	28.0
PSMC6	kidney	209.0	232	258.0	466.0	23.0	208.0	26.0
PSMD1	kidney	1229.0	1041	1448.0	1432.0	188.0	16.0	203.0
PTGDR	cerebellum	26.0	16	6.0	1.0	10.0	5.0	10.0
PTGDR	liver	24.0	30	14.0	16.0	6.0	2.0	8.0
PTGER2	kidney	37.0	52	80.0	66.0	15.0	14.0	14.0
PTGES2	kidney	2598.0	1703	1686.0	1505.0	895.0	181.0	17.0
PTPRC	heart	171.0	134	261.0	215.0	37.0	46.0	44.0
RAB11A	cerebellum	908.0	1157	869.0	705.0	249.0	164.0	39.0
RAB15	cerebellum	4394.0	6163	1996.0	3644.0	1769.0	1648.0	750.0
RAB15	heart	48.0	103	124.0	242.0	55.0	118.0	21.0
RAB15	liver	89.0	222	998.0	269.0	133.0	729.0	47.0
RALGPS2	cerebellum	456.0	566	322.0	282.0	110.0	40.0	134.0
RALGPS2	heart	135.0	56	155.0	183.0	79.0	28.0	20.0
RALGPS2	kidney	81.0	107	167.0	260.0	26.0	93.0	60.0
RALGPS2	liver	743.0	784	221.0	350.0	41.0	129.0	393.0
RASAL2	kidney	443.0	354	472.0	664.0	89.0	192.0	29.0
RCAN1	cerebellum	2300.0	2296	1329.0	789.0	4.0	540.0	967.0
RETREG1	kidney	652.0	461	1515.0	990.0	191.0	525.0	338.0
REXO4	liver	244.0	225	795.0	289.0	19.0	506.0	45.0
ROR2	heart	34.0	22	13.0	3.0	12.0	10.0	9.0
ROR2	kidney	40.0	27	19.0	18.0	13.0	1.0	8.0
RPL7A	heart	47.0	43	31.0	35.0	4.0	4.0	8.0
RPS9	heart	1983.0	1871	1110.0	1587.0	112.0	477.0	284.0
RTRAF	kidney	723.0	718	1056.0	1296.0	5.0	240.0	333.0
RUNDC3B	heart	56.0	28	8.0	20.0	28.0	12.0	8.0
RUNDC3B	kidney	11.0	14	17.0	64.0	3.0	47.0	3.0
RUNDC3B	liver	50.0	72	36.0	49.0	22.0	13.0	1.0
S100A10	heart	1385.0	1259	1482.0	1398.0	126.0	84.0	13.0
S100A11	heart	668.0	1372	430.0	205.0	704.0	225.0	238.0
S100A11	kidney	1927.0	2475	1751.0	1014.0	548.0	737.0	176.0
SAMD5	heart	24.0	47	16.0	23.0	23.0	7.0	1.0
SASH1	heart	1249.0	1821	1146.0	1224.0	572.0	78.0	25.0
SASH1	kidney	990.0	832	1377.0	1212.0	158.0	165.0	222.0
SEC16B	kidney	192.0	162	314.0	419.0	30.0	105.0	122.0
SERPINA5	heart	16.0	15	127.0	17.0	1.0	110.0	1.0
SET	heart	1587.0	876	1701.0	1957.0	711.0	256.0	114.0
SET	kidney	1469.0	1430	2040.0	2179.0	39.0	139.0	571.0
SLC11A2	kidney	694.0	318	844.0	1032.0	376.0	188.0	150.0
SLC11A2	liver	174.0	184	774.0	262.0	10.0	512.0	78.0
SLC12A8	liver	98.0	110	232.0	183.0	12.0	49.0	73.0
SLC24A1	heart	99.0	127	81.0	87.0	28.0	6.0	12.0
SLC27A4	kidney	863.0	942	1096.0	1147.0	79.0	51.0	154.0
SLC2A6	heart	100.0	137	96.0	67.0	37.0	29.0	4.0
SLC35F1	liver	2.0	2	1.0	1.0	0.0	0.0	1.0
SLCO3A1	kidney	324.0	278	250.0	254.0	46.0	4.0	24.0
SMAGP	cerebellum	30.0	27	20.0	14.0	3.0	6.0	7.0
SMAGP	heart	58.0	83	28.0	56.0	25.0	28.0	2.0
SMAGP	kidney	142.0	116	176.0	151.0	26.0	25.0	9.0
SMIM11A	kidney	226.0	195	237.0	492.0	31.0	255.0	11.0
SMIM34A	cerebellum	2.0	4	15.0	11.0	2.0	4.0	7.0
SNAPC5	heart	412.0	170	465.0	502.0	242.0	37.0	53.0
SNAPC5	kidney	281.0	278	376.0	532.0	3.0	156.0	95.0
SNORC	kidney	23.0	49	50.0	61.0	26.0	11.0	1.0
SNORC	liver	15.0	30	40.0	45.0	15.0	5.0	10.0
SNX4	kidney	488.0	474	793.0	1073.0	14.0	280.0	305.0
SON	heart	2435.0	2252	2956.0	2984.0	183.0	28.0	521.0
SON	kidney	2783.0	2465	3135.0	6061.0	318.0	2926.0	352.0
SP100	kidney	544.0	417	903.0	738.0	127.0	165.0	194.0
SP140	kidney	36.0	46	24.0	23.0	10.0	1.0	12.0
SPACA9	kidney	117.0	106	167.0	256.0	11.0	89.0	50.0
SPTAN1	kidney	6955.0	6613	11840.0	11352.0	342.0	488.0	4397.0
SS18	heart	265.0	215	459.0	269.0	50.0	190.0	4.0
SS18	kidney	493.0	454	849.0	891.0	39.0	42.0	356.0
ST6GALNAC4	heart	453.0	309	306.0	224.0	144.0	82.0	3.0
STKLD1	liver	19.0	25	12.0	15.0	6.0	3.0	4.0
STXBP5	kidney	189.0	196	273.0	286.0	7.0	13.0	77.0
SURF1	heart	465.0	314	505.0	536.0	151.0	31.0	40.0
SURF1	kidney	868.0	665	1542.0	2099.0	203.0	557.0	674.0
SURF2	cerebellum	499.0	465	771.0	542.0	34.0	229.0	43.0
SURF2	kidney	321.0	275	611.0	382.0	46.0	229.0	61.0
SURF2	liver	150.0	140	933.0	183.0	10.0	750.0	33.0
SURF4	kidney	2830.0	1901	4162.0	3921.0	929.0	241.0	1091.0
